,Compound_CID,IUPAC_Name,SMILES
13,190995,"6'-(1-amino-2-hydroxyethyl)-4-(3,5-diamino-2,4,6-trihydroxycyclohexyl)oxy-6-(hydroxymethyl)spiro[4,6,7,7a-tetrahydro-3aH-[1,3]dioxolo[4,5-c]pyran-2,2'-oxane]-3',4',5',7-tetrol",C(C1C(C2C(C(O1)OC3C(C(C(C(C3O)N)O)N)O)OC4(O2)C(C(C(C(O4)C(CO)N)O)O)O)O)O
14,198272,"2-[4,6-diamino-3-[3-amino-6-(aminomethyl)-4,5-dihydroxyoxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-5-methyl-4-(methylamino)oxane-3,5-diol",CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CN)O)O)N)N)N)O
15,6442025,"(5R,6R)-3-[(E)-2-acetamidoethenyl]sulfanyl-6-ethyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",CC[C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)S/C=C/NC(=O)C
16,9577442,"N-[(E)-2-[(14E)-9-[4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-3-ethyl-7-hydroxy-2,8,12,16-tetramethyl-5,13-dioxo-4,17-dioxabicyclo[14.1.0]heptadec-14-en-10-yl]ethylideneamino]acetamide",CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3C(C(CC(O3)C)N(C)C)O)C/C=N/NC(=O)C)C)C)C
17,6441232,"2-amino-3-[2-[(14E)-9-[4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-3-ethyl-7-hydroxy-2,8,12,16-tetramethyl-5,13-dioxo-4,17-dioxabicyclo[14.1.0]heptadec-14-en-10-yl]-1-hydroxyethyl]sulfanylpropanoic acid",CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3C(C(CC(O3)C)N(C)C)O)CC(O)SCC(C(=O)O)N)C)C)C
18,6438439,"2-[2-[(4E,6E)-3,5-dimethyl-2-oxoocta-4,6-dienyl]-6-oxooxan-4-yl]acetamide",C/C=C/C(=C/C(C)C(=O)CC1CC(CC(=O)O1)CC(=O)N)/C
19,6444087,"(E)-8-[7-hydroxy-2-[2-[6-hydroxy-6-(hydroxymethyl)-3,5-dimethyloxan-2-yl]-4,6-dimethyl-1,10-dioxaspiro[4.5]decan-9-yl]-2,8-dimethyl-1,10-dioxaspiro[4.5]decan-9-yl]-2,4,6-trimethyl-5-oxonon-6-enoic acid",CC1CCC(OC12C(CC(O2)C3C(CC(C(O3)(CO)O)C)C)C)C4(CCC5(O4)CC(C(C(O5)C(C)/C=C(\C)/C(=O)C(C)CC(C)C(=O)O)C)O)C
20,173326,"N-[2-methoxy-1-(3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl)propyl]-1-methylpyrrolidine-2-carboxamide",CC(C(C1C(C(C(C(O1)SC)O)O)O)NC(=O)C2CCCN2C)OC
21,174677,"2-[(2S,3R,4R,5S,6R)-3-ethyl-6-[(2S,3S,4S,6R)-6-[(2S,3S,5S)-5-[(2R,3R,5R)-5-ethyl-2-hydroxy-5-[(1S)-1-hydroxypropyl]-3-methyloxolan-2-yl]-3,5-dimethyloxolan-2-yl]-3-hydroxy-4-methyl-5-oxooctan-2-yl]-2,4-dihydroxy-5-methyloxan-2-yl]acetic acid",CC[C@@H]1[C@@H]([C@@H]([C@H](O[C@]1(CC(=O)O)O)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@@](O2)(C)[C@]3([C@@H](C[C@](O3)(CC)[C@H](CC)O)C)O)C)O)C)O
22,174676,"(3R,5S,6S,7S)-7-[(2R,3S,4R,5R,6S)-5-ethyl-4,6-dihydroxy-3,6-dimethyloxan-2-yl]-3-[(2S,3S,5S)-5-[(2R,3R,5R)-5-ethyl-2-hydroxy-5-[(1S)-1-hydroxypropyl]-3-methyloxolan-2-yl]-3,5-dimethyloxolan-2-yl]-6-hydroxy-5-methyloctan-4-one",CC[C@@H]1[C@@H]([C@@H]([C@H](O[C@]1(C)O)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@@](O2)(C)[C@]3([C@@H](C[C@](O3)(CC)[C@H](CC)O)C)O)C)O)C)O
23,5487705,[(1R)-2-(4-hydroxyphenyl)-1-[[(2S)-1-[[(2S)-3-methyl-2-(methylamino)butanoyl]amino]-1-oxo-3-phenylpropan-2-yl]amino]ethyl]phosphonic acid,CC(C)[C@@H](C(=O)NC(=O)[C@H](CC1=CC=CC=C1)N[C@@H](CC2=CC=C(C=C2)O)P(=O)(O)O)NC
24,6439630,3-[(E)-2-acetamidoethenyl]sulfanyl-7-oxo-6-propan-2-yl-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid,CC(C)C1C2CC(=C(N2C1=O)C(=O)O)S/C=C/NC(=O)C
25,6439822,(2S)-3-[[(E)-4-amino-4-oxobut-2-enoyl]amino]-2-[[(2S)-2-aminopropanoyl]amino]propanoic acid,C[C@@H](C(=O)N[C@@H](CNC(=O)/C=C/C(=O)N)C(=O)O)N
26,135602250,"4-[[(2S,4R)-5-amino-4-hydroxy-3,4-dihydro-2H-pyrrole-2-carbonyl]amino]-N-[(E)-3-amino-3-iminoprop-1-enyl]-1H-pyrrole-2-carboxamide",C1[C@H](C(=N[C@@H]1C(=O)NC2=CNC(=C2)C(=O)N/C=C/C(=N)N)N)O
27,135625259,"5-ethyl-4-hydroxy-3-methyl-5-(2-methylbuta-1,3-dienyl)thiophen-2-one",CCC1(C(=C(C(=O)S1)C)O)C=C(C)C=C
28,6441233,"(14E)-9-[4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-3-ethyl-7-hydroxy-2,8,12,16-tetramethyl-10-[(E)-4-oxopent-2-enyl]-4,17-dioxabicyclo[14.1.0]heptadec-14-ene-5,13-dione",CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3C(C(CC(O3)C)N(C)C)O)C/C=C/C(=O)C)C)C)C
29,6444169,"2-[(14E)-9-[4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-3-ethyl-7-hydroxy-2,8,12,16-tetramethyl-5,13-dioxo-4,17-dioxabicyclo[14.1.0]heptadec-14-en-10-yl]acetic acid",CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3C(C(CC(O3)C)N(C)C)O)CC(=O)O)C)C)C
30,9577432,"trisodium;(6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-5-yl)-2-[(S)-carboxylato-(3,4-dihydroxyphenyl)methoxy]iminoacetyl]amino]-3-[(2-carboxylato-5-methyl-[1,2,4]triazolo[1,5-a]pyrimidin-7-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",CC1=NC2=NC(=NN2C(=C1)SCC3=C(N4[C@@H]([C@@H](C4=O)NC(=O)/C(=N/O[C@@H](C5=CC(=C(C=C5)O)O)C(=O)[O-])/C6=CN=C(S6)N)SC3)C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+]
31,3068837,"2-[[(3R,8R,9R)-3,9-dimethyl-2-[1-oxo-1-(1H-pyrrol-2-yl)propan-2-yl]-1,7-dioxaspiro[5.5]undecan-8-yl]methyl]-5-hydroxy-1,3-benzoxazole-4-carboxylic acid",C[C@@H]1CCC2(CC[C@H](C(O2)C(C)C(=O)C3=CC=CN3)C)O[C@@H]1CC4=NC5=C(O4)C=CC(=C5C(=O)O)O
32,3037852,"(5R,6E)-3-(2-acetamidoethylsulfanyl)-6-(1-hydroxypropan-2-ylidene)-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",C/C(=C\1/[C@H]2CC(=C(N2C1=O)C(=O)O)SCCNC(=O)C)/CO
33,132767,"3-propyl-1H-pyrazolo[1,5-b]isoquinolin-9-one",CCCC1=CNN2C1=CC3=CC=CC=C3C2=O
34,46874763,"2-[[[(1R)-1-[[(2R)-2-[3-acetamido-2-[[[(2R,3S,4R)-3,4-dihydroxy-5-(5-iodo-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoyl]amino]ethyl]-hydroxyphosphoryl]methyl]pentanedioic acid",C[C@H](C(=O)N[C@@H](C)P(=O)(CC(CCC(=O)O)C(=O)O)O)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H](C(O2)N3C=C(C(=O)NC3=O)I)O)O)NC(=O)C
35,10909430,"(4R)-4-[[(2S)-2-[[(4R)-2-[(1S,2S)-1-amino-2-methylbutyl]-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[(2S,3S)-1-[[(3S,6R,9S,12R,15S,18R,21S)-3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-[(2S)-butan-2-yl]-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CSC(=N2)[C@H]([C@@H](C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4
36,11136668,"N-[(3S,6S,12R,15S,16R,19S,22S)-3-[[4-(dimethylamino)phenyl]methyl]-12-ethyl-4,16-dimethyl-2,5,11,14,18,21,24-heptaoxo-19-phenyl-17-oxa-1,4,10,13,20-pentazatricyclo[20.4.0.06,10]hexacosan-15-yl]-3-hydroxypyridine-2-carboxamide",CC[C@@H]1C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3CCC(=O)C[C@H]3C(=O)N[C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CC6=CC=C(C=C6)N(C)C)C
